episode,resultado
62662,llegada
62727,llegada
62747,choque
62795,llegada
62819,llegada
62825,llegada
62882,llegada
62911,llegada
62943,llegada
62986,llegada
63032,llegada
63083,llegada
63154,llegada
63199,llegada
63233,llegada
63302,llegada
63324,llegada
63405,llegada
63421,llegada
63472,llegada
63527,llegada
63540,llegada
63548,llegada
63573,llegada
63604,llegada
63702,llegada
63755,llegada
63781,llegada
63787,choque
63827,llegada
63882,llegada
63905,llegada
63973,llegada
64007,llegada
64050,llegada
64060,choque
64150,llegada
64157,llegada
64197,llegada
64207,llegada
64236,llegada
64274,llegada
64289,llegada
64341,llegada
64412,llegada
64418,llegada
64450,choque
64493,llegada
64553,llegada
64571,llegada
64593,llegada
64629,llegada
64660,llegada
64701,choque
64715,llegada
64797,llegada
64861,llegada
64907,llegada
65007,timeout
65107,timeout
65120,choque
65136,llegada
65190,llegada
65212,llegada
65266,llegada
65315,llegada
65329,llegada
65388,llegada
65488,timeout
65531,llegada
65545,llegada
65568,llegada
65600,llegada
65636,llegada
65701,llegada
65801,timeout
65895,llegada
65944,llegada
65965,llegada
65996,llegada
66081,llegada
66102,choque
66146,llegada
66172,llegada
66222,llegada
66282,llegada
66310,llegada
66327,llegada
66350,llegada
66367,llegada
66396,llegada
66450,llegada
66479,llegada
66526,llegada
66570,llegada
66670,timeout
66680,llegada
66692,llegada
66747,llegada
66811,llegada
66842,llegada
66927,llegada
66933,llegada
66981,llegada
67011,llegada
67038,llegada
67116,llegada
67160,llegada
67194,llegada
67242,llegada
67302,llegada
67314,llegada
67352,llegada
67393,llegada
67442,llegada
67466,llegada
67495,llegada
67521,llegada
67583,llegada
67647,llegada
67684,llegada
67738,llegada
67790,llegada
67808,llegada
67824,llegada
67837,choque
67929,llegada
67962,llegada
68036,llegada
68111,llegada
68154,llegada
68183,llegada
68231,llegada
68262,llegada
68308,llegada
68313,llegada
68367,llegada
68413,llegada
68435,llegada
68471,llegada
68555,llegada
68599,llegada
68649,llegada
68672,llegada
68764,llegada
68813,llegada
68861,llegada
68878,llegada
68897,llegada
68935,llegada
68994,llegada
69030,llegada
69073,llegada
69085,llegada
69088,llegada
69111,llegada
69153,llegada
69190,llegada
69290,llegada
69357,llegada
69397,llegada
69422,llegada
69464,llegada
69549,llegada
69587,llegada
69675,llegada
69729,llegada
69789,llegada
69824,llegada
69844,llegada
69892,llegada
69958,llegada
69973,llegada
70000,choque
70017,llegada
70061,llegada
70121,llegada
70174,llegada
70192,llegada
70226,llegada
70249,choque
70299,llegada
70340,llegada
70363,llegada
70382,llegada
70392,choque
70415,llegada
70450,llegada
70483,llegada
70510,llegada
70533,llegada
70540,llegada
70566,llegada
70579,llegada
70633,llegada
70660,llegada
70723,llegada
70750,llegada
70762,llegada
70771,llegada
70807,llegada
70860,llegada
70938,llegada
70947,llegada
71003,llegada
71018,llegada
71044,llegada
71113,llegada
71146,llegada
71200,llegada
71235,llegada
71276,llegada
71365,choque
71368,llegada
71424,llegada
71474,llegada
71513,llegada
71560,llegada
71594,llegada
71642,llegada
71672,llegada
71701,llegada
71725,choque
71799,llegada
71825,llegada
71840,llegada
71908,llegada
71959,llegada
71993,llegada
72007,llegada
72068,llegada
72117,llegada
72129,llegada
72155,llegada
72175,llegada
72212,llegada
72217,choque
72248,llegada
72273,llegada
72290,llegada
72295,llegada
72320,llegada
72329,llegada
72367,llegada
72432,llegada
72472,llegada
72480,llegada
72530,llegada
72537,choque
72563,llegada
72596,llegada
72636,llegada
72655,llegada
72666,llegada
72735,llegada
72764,llegada
72837,llegada
72872,llegada
72916,llegada
73016,timeout
73070,llegada
73122,llegada
73153,llegada
